,data structure,memory size,block size,avg cell probes,std cell probes,avg disk accesses,std disk accesses
98,Coors,32,8,14.9446,0.11957443056291099,6.241199999999999,0.06425954317367093
44,Coors,64,8,14.953400000000002,0.14392463305494296,5.7732,0.07070855676649043
62,Coors,128,8,14.953400000000002,0.14392463305494296,5.2736,0.07855762216360675
2,Coors,256,16,14.953400000000002,0.14392463305494296,3.8928,0.07407901187245955
45,Coors,1024,32,14.953400000000002,0.14392463305494296,2.7185999999999995,0.06399062431325384
101,NaiveStruct,32,8,2000.0,0.0,250.006,0.003197221015544239
84,NaiveStruct,64,8,2000.0,0.0,250.00519999999997,0.0038987177379298083
59,NaiveStruct,128,8,2000.0,0.0,250.00519999999997,0.0038987177379298083
38,NaiveStruct,256,16,2000.0,0.0,125.005,0.003464101615135835
11,NaiveStruct,1024,32,2000.0,0.0,63.0048,0.003033150177619759
12,RangeTree,32,8,28.8487,0.17918150326166804,8.5445,0.10813700158184097
106,RangeTree,64,8,28.881,0.18577271059011763,7.9566,0.11826368842548445
26,RangeTree,128,8,28.881,0.18577271059011763,7.4438,0.10712002613890666
67,RangeTree,256,16,28.881,0.18577271059011763,5.994199999999999,0.08969782606061315
72,RangeTree,1024,32,28.881,0.18577271059011763,4.6276,0.06616872372956902
69,RangeTree_non_veb,32,8,28.8487,0.17918150326166804,9.9845,0.12957130169224298
40,RangeTree_non_veb,64,8,28.881,0.18577271059011763,9.3668,0.1254340464148389
32,RangeTree_non_veb,128,8,28.881,0.18577271059011763,8.7922,0.10819057260223718
73,RangeTree_non_veb,256,16,28.881,0.18577271059011763,7.6592,0.12541810076699442
80,RangeTree_non_veb,1024,32,28.881,0.18577271059011763,5.9974,0.1047391999205646
91,XBST,32,8,14.337699999999998,0.13134352752314157,5.1447,0.18949409254937502
76,XBST,64,8,14.3108,0.15015225606030713,4.5969999999999995,0.1968654362756448
49,XBST,128,8,14.3108,0.15015225606030713,4.060599999999999,0.21812794410620567
3,XBST,256,16,14.3108,0.15015225606030713,2.8858,0.2671847675298874
60,XBST,1024,32,14.3108,0.15015225606030713,1.5722,0.3533520906970837
20,XBST_non_veb,32,8,14.337699999999998,0.13134352752314157,8.6719,0.28025403158959605
97,XBST_non_veb,64,8,14.3108,0.15015225606030713,7.5286,0.35844009262357934
107,XBST_non_veb,128,8,14.3108,0.15015225606030713,6.6781999999999995,0.3101567345714098
104,XBST_non_veb,256,16,14.3108,0.15015225606030713,5.2442,0.3277296141638715
27,XBST_non_veb,1024,32,14.3108,0.15015225606030713,2.455,0.43609402655849355
